Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,"CountPathMean-divided-by-1,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
AcidHouseKeeperService.java,7.0,0.0,0.0,1.0,1.0,1.0,1.5,10.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,1.5,0.0,0.38,0.0,3.0,7.0,1.0,3.8,12.0,1.0,0.0,0.0,0.0,0.4,2.0,0.0
AcidInputFormat.java,6.0,0.0,1.0,1.0,1.0,1.0,1.3333333333333333,6.666666666666667,0.0,6.0,0.0,6.0,0.0,0.0,2.0,1.0,39.333333333333336,1.24,0.0,2.7222222222222223,8.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0
AcidOpenTxnsCounterService.java,6.0,0.0,0.0,1.0,1.0,1.0,1.5,8.5,0.0,2.0,0.0,0.0,1.0,3.0,3.0,1.5,8.5,0.43,0.0,2.4,7.0,1.0,3.0,9.0,1.0,0.0,0.0,0.0,0.4,2.0,0.0
AcidOutputFormat.java,6.0,0.0,3.0,1.0,1.0,1.0,2.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,94.0,0.78,1.0,6.971428571428572,22.0,1.0,1.542857142857143,3.0,0.0,0.0,0.0,0.0,0.1142857142857142,2.0,0.0
AcidTable.java,6.0,0.0,2.0,1.0,1.0,1.0,1.3333333333333333,12.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,23.666666666666668,0.7,1.0,5.9523809523809526,12.0,1.0,6.0,27.0,1.0,0.0,0.0,0.0,0.4285714285714285,3.0,0.0
AcidTableSerializer.java,34.0,3.0,1.0,4.0,4.0,1.0,1.0,15.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.3,1.0,4.0,7.0,15.0,19.75,27.0,1.0,0.0,0.0,0.0,1.25,3.0,0.0
AcidUtils.java,12.0,0.0,3.0,2.0,2.0,1.0,1.2142857142857142,7.714285714285714,0.0,16.0,41.0,9.0,6.0,0.0,19.0,1.4285714285714286,13.785714285714286,0.38,0.0,5.494845360824742,26.0,1.0,5.721649484536083,23.0,0.0,0.0,0.0,0.0,0.4639175257731959,3.0,0.0
AcidWriteSetService.java,7.0,0.0,0.0,1.0,1.0,1.0,1.5,10.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,1.5,0.0,0.36,0.0,2.4,7.0,1.0,3.6,12.0,1.0,0.0,0.0,0.0,0.4,2.0,0.0
AddDynamicPartitions.java,11.0,1.0,1.0,3.0,3.0,2.0,2.2,12.0,0.0,6.0,3.0,1.0,2.0,0.0,17.0,1.4,15.4,0.08,0.0,3.945454545454545,16.0,1.0,3.327272727272727,23.0,1.0,0.0,0.0,0.0,0.5454545454545454,4.0,0.0
AddForeignKeyRequest.java,8.0,0.0,0.0,2.0,2.0,1.0,2.2,10.8,0.0,6.0,3.0,1.0,2.0,0.0,6.0,1.4,8.8,0.08,0.0,2.4,7.0,1.0,2.628571428571429,13.0,1.0,0.0,0.0,0.0,0.7428571428571429,4.0,0.0
