,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Bugs
3662,TestUDFSign.java,16.0,3.0,13.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,47.0,8.0,22.0,13.0,10.0,17.0,17.0,19.0,12.0,10.0,1.0,0.0,0.77,1.0,0.0
3663,TestUDFUnbase64.java,12.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,6.0,15.0,10.0,7.0,18.0,11.0,13.0,10.0,7.0,1.0,0.0,1.2,1.0,0.0
3664,TestUDFUnhex.java,15.0,2.0,12.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,41.0,6.0,17.0,9.0,9.0,18.0,13.0,16.0,10.0,10.0,2.0,1.0,1.06,2.0,0.0
3665,TestUDFXPathUtil.java,25.0,5.0,19.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,82.0,17.0,45.0,14.0,31.0,21.0,37.0,40.0,12.0,31.0,1.0,0.0,0.47,2.0,0.0
3666,TestUnaryMinus.java,12.0,0.0,11.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,46.0,5.0,20.0,14.0,7.0,21.0,15.0,18.0,14.0,6.0,2.0,1.0,1.05,2.0,0.0
3667,TestUnionColumnVector.java,30.0,0.0,30.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,93.0,6.0,67.0,21.0,50.0,20.0,58.0,65.0,23.0,53.0,5.0,1.0,0.3,7.0,0.0
3668,TestUnpermittedCharsInColumnNameCreateTableNegative.java,9.0,0.0,9.0,0.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,1.0,5.0,1.0,0.0,0.0,4.0,87.0,9.0,57.0,22.0,27.0,21.0,24.0,33.0,18.0,15.0,2.0,1.0,0.37,8.0,0.0
3669,TestUnrolledBitPack.java,12.0,1.0,12.0,0.0,2.0,1.0,1.0,0.0,4.0,4.0,3.0,6.0,4.0,0.0,0.0,0.0,4.0,114.0,18.0,79.0,51.0,34.0,17.0,47.0,56.0,43.0,20.0,3.0,1.0,0.22,6.0,0.0
3670,TestUnsignedInt128.java,21.0,2.0,18.0,1.0,1.0,1.0,0.0,0.0,24.0,24.0,24.0,3.0,24.0,0.0,3.0,0.0,21.0,559.0,79.0,448.0,107.0,353.0,34.0,299.0,335.0,82.0,299.0,4.0,2.0,0.08,35.0,0.0
3671,TestUpdateDeleteSemanticAnalyzer.java,12.0,1.0,11.0,0.0,1.0,2.0,0.0,1.0,20.0,20.0,20.0,5.0,20.0,1.0,2.0,0.0,17.0,324.0,39.0,261.0,114.0,151.0,24.0,131.0,171.0,87.0,116.0,3.0,2.0,0.09,23.0,1.0
3672,TestUseDatabase.java,18.0,4.0,15.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,82.0,16.0,47.0,24.0,25.0,19.0,37.0,40.0,23.0,20.0,1.0,0.0,0.4,2.0,0.0
3673,TestUtil.java,11.0,0.0,6.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,76.0,8.0,34.0,19.0,13.0,34.0,19.0,24.0,16.0,12.0,2.0,1.0,1.0,4.0,0.0
3674,TestUtilities.java,19.0,1.0,17.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,154.0,19.0,115.0,52.0,74.0,22.0,84.0,92.0,51.0,55.0,2.0,1.0,0.19,7.0,1.0
3675,TestValidCompactorTxnList.java,7.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,8.0,90.0,11.0,62.0,35.0,32.0,17.0,36.0,45.0,27.0,32.0,1.0,0.0,0.27,8.0,0.0
3676,TestValidReadTxnList.java,14.0,0.0,14.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,92.0,7.0,65.0,36.0,42.0,20.0,61.0,71.0,37.0,50.0,5.0,1.0,0.31,9.0,0.0
3677,TestVariableSubstitution.java,5.0,0.0,5.0,0.0,1.0,4.0,1.0,1.0,6.0,6.0,5.0,1.0,6.0,0.0,1.0,1.0,4.0,63.0,9.0,37.0,17.0,16.0,17.0,18.0,26.0,17.0,13.0,1.0,0.0,0.46,6.0,0.0
3678,TestVectorArithmeticExpressions.java,33.0,3.0,27.0,4.0,2.0,1.0,2.0,0.0,24.0,24.0,22.0,0.0,24.0,0.0,2.0,0.0,22.0,923.0,103.0,693.0,185.0,565.0,146.0,605.0,649.0,174.0,528.0,9.0,3.0,0.21,43.0,0.0
3679,TestVectorConditionalExpressions.java,27.0,2.0,22.0,2.0,1.0,1.0,0.0,0.0,18.0,18.0,18.0,0.0,18.0,0.0,6.0,0.0,12.0,544.0,64.0,422.0,102.0,352.0,60.0,366.0,385.0,90.0,332.0,2.0,1.0,0.14,20.0,0.0
3680,TestVectorDateExpressions.java,16.0,1.0,15.0,0.0,2.0,2.0,1.0,0.0,25.0,25.0,24.0,1.0,25.0,0.0,15.0,0.0,10.0,492.0,52.0,417.0,143.0,296.0,24.0,310.0,362.0,140.0,265.0,5.0,3.0,0.06,50.0,1.0
3681,TestVectorExpressionWriters.java,9.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,43.0,43.0,43.0,1.0,43.0,0.0,18.0,0.0,25.0,509.0,67.0,422.0,188.0,244.0,25.0,242.0,320.0,163.0,211.0,8.0,2.0,0.06,79.0,0.0
3682,TestVectorFilterOperator.java,18.0,2.0,16.0,0.0,3.0,2.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,0.0,2.0,0.0,4.0,170.0,24.0,118.0,59.0,75.0,28.0,89.0,106.0,61.0,67.0,5.0,3.0,0.24,15.0,1.0
3683,TestVectorGenericDateExpressions.java,24.0,2.0,22.0,0.0,4.0,1.0,0.0,0.0,29.0,29.0,29.0,4.0,29.0,0.0,18.0,0.0,11.0,769.0,83.0,669.0,173.0,501.0,17.0,426.0,535.0,177.0,419.0,16.0,3.0,0.03,110.0,0.0
3684,TestVectorLimitOperator.java,9.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,1.0,0.0,3.0,77.0,15.0,38.0,24.0,14.0,24.0,19.0,24.0,18.0,10.0,1.0,0.0,0.63,4.0,1.0
3685,TestVectorLogicalExpressions.java,21.0,3.0,16.0,2.0,1.0,5.0,0.0,5.0,36.0,36.0,36.0,5.0,36.0,0.0,1.0,0.0,35.0,868.0,161.0,617.0,180.0,481.0,101.0,535.0,586.0,159.0,502.0,5.0,1.0,0.16,46.0,0.0
3686,TestVectorMapJoinFastLongHashMap.java,20.0,3.0,16.0,1.0,2.0,1.0,0.0,0.0,9.0,9.0,9.0,0.0,9.0,0.0,2.0,0.0,7.0,219.0,43.0,151.0,76.0,100.0,25.0,117.0,140.0,77.0,107.0,4.0,2.0,0.17,22.0,0.0
3687,TestVectorMapJoinFastMultiKeyHashMap.java,21.0,3.0,17.0,1.0,3.0,1.0,0.0,0.0,9.0,9.0,9.0,0.0,9.0,0.0,2.0,0.0,7.0,231.0,43.0,161.0,80.0,108.0,27.0,123.0,148.0,81.0,115.0,5.0,2.0,0.17,24.0,0.0
3688,TestVectorMapJoinRowBytesContainer.java,21.0,2.0,19.0,0.0,5.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,74.0,11.0,46.0,22.0,26.0,17.0,33.0,43.0,25.0,28.0,7.0,3.0,0.37,9.0,0.0
3689,TestVectorMathFunctions.java,16.0,1.0,14.0,1.0,1.0,1.0,10.0,2.0,35.0,35.0,25.0,0.0,35.0,0.0,1.0,0.0,34.0,656.0,83.0,523.0,214.0,366.0,53.0,423.0,465.0,194.0,338.0,3.0,1.0,0.1,41.0,0.0
3690,TestVectorRowObject.java,23.0,3.0,19.0,0.0,4.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,108.0,18.0,69.0,27.0,42.0,21.0,49.0,63.0,31.0,40.0,5.0,3.0,0.3,12.0,0.0
3691,TestVectorScalarColArithmetic.java,17.0,1.0,15.0,1.0,2.0,1.0,0.0,0.0,11.0,11.0,11.0,1.0,11.0,0.0,4.0,0.0,7.0,245.0,29.0,180.0,62.0,125.0,38.0,138.0,158.0,58.0,118.0,3.0,2.0,0.21,19.0,0.0
3692,TestVectorSelectOperator.java,24.0,4.0,19.0,1.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,127.0,23.0,81.0,51.0,48.0,23.0,66.0,72.0,47.0,38.0,2.0,1.0,0.28,4.0,1.0
3693,TestVectorSerDeRow.java,51.0,3.0,48.0,0.0,8.0,2.0,0.0,0.0,11.0,9.0,11.0,4.0,11.0,5.0,3.0,0.0,3.0,660.0,49.0,588.0,209.0,383.0,23.0,378.0,440.0,219.0,303.0,40.0,4.0,0.04,92.0,0.0
