Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMin-divided-by-1,000","CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
HCatNotificationEvent.java,5.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,3.0,1.0,63.0,0.41,6.0,14.5,36.0,1.0,1.625,6.0,0.0,0.0,0.0,0.0,0.25,2.0,0.0
HCatOutputFormat.java,28.0,3.0,7.0,4.0,1.0,1.0,37.66666666666666,0.0,1.0,6.0,0.0,21.0,2.333333333333333,42.66666666666666,0.45,2.0,6.777777777777778,21.0,2.0,13.166666666666666,64.0,0.0,0.0,0.0,0.0,0.8333333333333334,5.0,0.0
HCatOutputFormatWriter.java,16.0,0.0,1.0,3.0,1.0,1.0,25.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.21,3.0,5.0,8.0,2.0,11.4,19.0,0.0,0.0,0.0,0.0,1.2,3.0,0.0
HCatPartition.java,10.0,0.0,3.0,1.0,1.0,1.0,19.83333333333333,0.3333333333333333,1.0,1.0,2.0,3.0,1.5,42.333333333333336,0.52,0.0,3.581818181818182,16.0,1.0,5.709090909090909,29.0,0.0,0.0,0.0,0.0,0.3454545454545454,2.0,0.0
HCatPartitionSpec.java,7.0,0.0,2.0,1.0,1.0,1.0,6.5,0.0,2.0,0.0,3.0,4.0,1.0,29.0,0.72,1.0,2.4545454545454546,4.0,1.0,2.272727272727273,6.0,0.0,0.0,0.0,0.0,0.2727272727272727,2.0,0.0
HCatReader.java,10.0,0.0,5.0,2.0,1.0,1.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,67.0,1.38,2.0,3.0,4.0,1.0,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCatRecord.java,3.0,0.0,0.0,1.0,1.0,1.3571428571428572,19.571428571428573,0.1428571428571428,1.0,0.0,0.0,1.0,1.5714285714285714,36.285714285714285,0.25,0.0,3.3181818181818183,21.0,0.0,4.575757575757576,24.0,0.0,0.0,0.0,0.0,0.3484848484848485,3.0,0.0
HCatRecordObjectInspector.java,7.0,1.0,0.0,2.0,1.0,1.0,12.5,0.0,1.0,0.0,0.0,3.0,2.5,25.0,0.69,1.0,5.25,9.0,2.0,10.5,19.0,0.0,0.0,0.0,0.0,1.75,3.0,0.0
HCatRecordObjectInspectorFactory.java,40.0,3.0,5.0,6.0,1.0,1.0,18.0,0.0,1.0,2.0,0.0,7.0,1.0,50.0,0.34,8.0,8.5,9.0,16.0,17.5,19.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
HCatRecordReader.java,14.0,2.0,2.0,2.0,1.0,1.0,19.0,0.0,2.0,0.0,3.0,7.0,1.5,51.0,0.44,1.0,3.8,9.0,1.0,6.6,19.0,0.0,0.0,0.0,0.0,0.7,3.0,0.0
HCatRecordSerDe.java,18.0,2.0,4.0,3.0,2.0,1.5,35.0,0.0,1.0,5.0,0.0,10.0,1.5,43.5,0.32,0.0,4.142857142857143,9.0,1.0,8.714285714285714,20.0,0.0,0.0,0.0,0.0,0.9285714285714286,2.0,0.0
